iter,EE,Rsum,Ptot,cost,grad_theta_norm,grad_p_norm,penalty_power,penalty_qos_dl,penalty_qos_ul,mean_sinr_dl_db,mean_sinr_ul_db,mean_direct,mean_reflect,reflect_direct_ratio,active_bs_per_user,avg_ris_load,step_mu,accepted_ls_trials,phase_change_norm,power_change_norm
1,1093487.11231335,338850299.558287,309.880469319318,200.39975005253,3.22107918135235e-08,2.03181964678834,14.5560907917589,95.5402039921727,90.314390139722,-32.8492441675571,-41.4918406383214,2.2134922615688e-13,1.111017675557e-14,0.050192977623946,2,1,1,1,2.3486400069333e-09,0.0603553411948182
2,1093713.67540773,342319997.891282,312.988678470777,210.23630846654,4.07685604933235e-08,2.02703151607779,14.5560907917589,100.683796074441,95.0073587370944,-32.7984111650276,-41.4947476355996,2.2134922615688e-13,1.11101767443381e-14,0.0501929775732029,2,1,1,1,3.23244106670228e-09,0.0588065930408997
3,1094159.40169579,345766206.809624,316.010817321256,220.597929388282,4.90842034792035e-08,2.02248589024631,14.5560907917589,106.104816586965,99.9479636035749,-32.7485062201306,-41.4975783451532,2.2134922615688e-13,1.11101767301221e-14,0.0501929775089784,2,1,1,1,4.09123627687496e-09,0.0573055632320071
4,1094811.96150901,349189530.526391,318.94931988603,231.512735373462,5.71645716356831e-08,2.01817060995142,14.5560907917589,111.81822065182,105.149372049498,-32.6994955909419,-41.5003350035188,2.2134922615688e-13,1.11101767130063e-14,0.0501929774316538,2,1,1,1,4.92573413645336e-09,0.0558509748526185
5,1095659.96978361,352590556.291647,321.80655131654,243.010359399302,6.50163219977668e-08,2.01407408992142,14.5560907917589,117.839770366017,110.625454841224,-32.6513472145368,-41.5030197787329,2.2134922615688e-13,1.1110176693073e-14,0.0501929773415999,2,1,1,1,5.73662101194764e-09,0.054441586676615
6,1096692.89525143,355969854.867306,324.584809848426,255.122026171692,7.26459232540665e-08,2.01018529590617,14.5560907917589,124.18607839559,116.390823913296,-32.6040306023708,-41.5056347725758,2.2134922615688e-13,1.11101766704017e-14,0.0501929772391767,2,1,1,1,6.52456555836419e-09,0.0530761920017469
7,1097900.97992235,359327980.98886,327.286328694481,267.880637817379,8.0059661074868e-08,2.00649372214418,14.5560907917589,130.874653927783,122.460872107637,-32.5575167435712,-41.5081820227344,2.2134922615688e-13,1.11101766450699e-14,0.0501929771247343,2,1,1,1,7.290216927355e-09,0.0517536175080617
8,1099275.16752455,362665473.814586,329.913277884071,281.320864198111,8.72636432895204e-08,2.00298936937728,14.5560907917589,137.923951108989,128.851815049038,-32.5117780154319,-41.5106635048861,2.2134922615688e-13,1.1110176617153e-14,0.0501929769986127,2,1,1,1,8.03420585288065e-09,0.050472722139677
9,1100807.03976102,365982857.362038,332.467766050526,295.479238096635,9.4263804917405e-08,1.9996627234395,14.5560907917589,145.353420103123,135.580735272151,-32.4667881004792,-41.5130811347077,2.2134922615688e-13,1.11101765867241e-14,0.0501929768611424,2,1,1,1,8.75714516101326e-09,0.0492323960094367
10,1102488.75940585,369280640.9325,334.951842167998,310.394255537653,1.01065913056626e-07,1.99650473444004,14.5560907917589,153.183560912344,142.665628721144,-32.4225219095377,-41.5154367698132,2.2134922615688e-13,1.11101765538541e-14,0.0501929767126443,2,1,1,1,9.45963046470088e-09,0.0480315593261056
